Label,Type,CLO_C,CLO_M,CL_C,CL_M,UBERON_C,UBERON_M,BTO_C,BTO_M
HS-SY-2Monophasic_synovial_sarcoma,CL,CLO_0050072,CLO_0000000,CL_0000214,CL_0000000,UBERON_0003668,UBERON_0000064,BTO_0006086,BTO_0000050
22Rv1_delSite4_Clone22/23-F8,CL,CLO_0001200,CLO_0001199,CL_0002231,-,UBERON_0002367,UBERON_0000000,BTO_0002999,-
lymphoma malignant hairy B-cell cell line:MLMA,CL,-,CLO_0037183,CL_0000236,CL_0000236,UBERON_0000178,-,-,BTO_0000776
Glioblastoma neurosphere cell_HF-3035,CT,-,CLO_0000000,CL_0000125,CL_0000000,UBERON_0001017,UBERON_0000000,BTO_0001530,BTO_0000000
lncaparmo-ar-dht1nm,CL,CLO_0007365,CLO_0000024,CL_0002231,CL_0000001,UBERON_0002367,UBERON_0000463,BTO_0001321,BTO_0000123
Loucy,CL,CLO_0007375,CLO_0007375,CL_0000084,-,UBERON_0000178,-,-,-
Crypt2,A,-,CLO_0000025,CL_0011108,CL_0000120,UBERON_0013485,UBERON_0000955,-,BTO_0000150
TE7_1,CL,CLO_0009319,CLO_0009319,CL_0000076,-,UBERON_0001043,-,-,-
A-673-clone-Asp114,CL,CLO_0001605,CLO_0001606,CL_0000187,-,UBERON_0005090,-,BTO_0003768,-
Stromal_heart_2,CT,-,-,CL_0000499,-,UBERON_0000948,UBERON_0000948,-,BTO_0000562
foreskin-keratinocyte-calcium5.5day,CT,-,-,CL_1001606,CL_0000312,UBERON_0001332,UBERON_0001332,BTO_0005481,BTO_0001113
small cell gastrointestinal carcinoma cell line:ECC10,CL,CLO_0050796,CLO_0050796,CL_0002178,CL_0000000,UBERON_0000945,-,-,BTO_0000297
PAEP_MECOM_pos_placenta,CT,-,-,-,-,UBERON_0001987,UBERON_0001987,-,BTO_0001078
H1 hESC-derived neural progenitor cells_Smad_6hr,CL,-,CLO_0037280,CL_0011020,-,UBERON_0000922,UBERON_0000064,-,-
HUCCT1,CL,CLO_0050009,CLO_0050009,CL_0000068,-,UBERON_0002394,-,BTO_0003911,-
VCaP_prostate_carcinoma_SH3_DHT,CL,CLO_0037117,CLO_0037117,CL_0002231,-,UBERON_0002367,UBERON_0002367,BTO_0003215,BTO_0001129
A-673_clone_Asp114_Ewing_sarcoma,CL,CLO_0001605,CLO_0001606,CL_0000187,-,UBERON_0005090,-,BTO_0003768,BTO_0000337
hMSC-TERT,CL,-,CLO_0000022,CL_0000134,CL_0000239,UBERON_0002371,UBERON_0000464,-,BTO_0000020
LNCaP_prostate_carcinoma_ETOH_SHCTR,CL,CLO_0007365,CLO_0007365,CL_0002231,-,UBERON_0002367,UBERON_0002367,BTO_0001321,BTO_0001129
GMP_Frozen_BM1077,CT,-, -,CL_0000557,CL_0000557,UBERON_0002371,-,-,- 
FLP76_embryonic_kidney,CL,-,-,CL_1000497,-,UBERON_0002113,UBERON_0002113,-,BTO_0000671
HEK293T,CL,CLO_0037372,CLO_0037372,CL_0002518,-,UBERON_0002113,-,BTO_0002181,-
GM15510,CL,CLO_0028068,CLO_0028068,CL_0000236,-,UBERON_0000178,-,-,-
Chondrocyte - re diff donor2,CT,-,-,CL_0000138,CL_0000138,UBERON_0002418,-,BTO_0000249,BTO_0000249
HeLaS3,CL,CLO_0003696,CLO_0000022,CL_0002535,CL_0000000,UBERON_0000002,UBERON_0000063,BTO_0000568,BTO_0000123
mesothelioma cell line:NCI-H28,CL,CLO_0008079,CLO_0008079,CL_0000082,-,UBERON_0002048,-,-,BTO_0002424
H9 derived neuronal progenitor cultured cells,CL,-,CLO_0000073,CL_0011020,CL_0000233,UBERON_0001016,UBERON_0005032,-,BTO_0000142
HeLa-S3_Cervical_Carcinoma,CL,CLO_0003696,CLO_0003684,CL_0002535,-,UBERON_0000002,-,BTO_0000568,-
muscle-of-leg,A,-, -,CL_0000737,-,UBERON_0001383,UBERON_0003823,BTO_0000722,BTO_0000721 
iPS DF 19.11 Cells,CL,CLO_0037308,CLO_0000023,CL_0002248,CL_0000066,-,UBERON_0001001,-,BTO_0000002
lung right lower lobe adult donor1,A,-,CLO_0000000,CL_0000082,-,UBERON_0002171,UBERON_0002171,-,BTO_0001043
GBM07,CT,CLO_0003456,CLO_0000058,CL_0000125,CL_0000235,UBERON_0000955,UBERON_0001002,-,BTO_0000145
A549_ethanol_1h,CL,CLO_0001601,CLO_0001601,CL_0000082,-,UBERON_0002048,-,BTO_0000018,-
MPAL1_T2_4,CT,-,CLO_0000001,CL_0000988,CL_0000002,UBERON_0000178,UBERON_0000003,-,BTO_0000004
Myeloid_liver_0,CT,-,-,CL_0000763,-,UBERON_0002107,UBERON_0002107,BTO_0000906,BTO_0000759
BJ/ET,CL,CLO_0001980,CLO_0000030,CL_1001608,CL_0000001,UBERON_0001332,UBERON_0000470,BTO_0003807,BTO_0000123
750T,CT,-,CLO_0000001,CL_1000497,CL_0000001,UBERON_0002113,UBERON_0000002,-,BTO_0000003
left ventricle_DCM_LV1009,A,-,-,CL_0002494,-,UBERON_0002084,UBERON_0002084,BTO_0001629,BTO_0001629
CluB_D,CT,-,CLO_0000123,CL_0000158,CL_0000123,UBERON_0002048,UBERON_0000123,-,BTO_0000123
A549 DMSO,CL,CLO_0001601,CLO_0001601,CL_0000082,-,UBERON_0002048,-,BTO_0000018,-
Astro_Oligodendro_cerebrum_2,CT,-,CLO_0000000,CL_0000125,-,UBERON_0000955,UBERON_0001869,-,BTO_0000239
IMR90_lung_fibroblasts_DMSO,CL,CLO_0006951,CLO_0006951,CL_0002553,-,UBERON_0002048,UBERON_0002048,BTO_0001229,BTO_0000763
HCT116 TP53-/-_Nutlin3A,CL,CLO_0003665,CLO_0003665,CL_0011108,-,UBERON_0001155,UBERON_0000000,BTO_0001109,-
GM18507,CL,CLO_0024916,CLO_0024916,CL_0000236,-,UBERON_0000178,-,-,-
